Designator,Mid X,Mid Y,Layer,Rotation
C1,-12.0396,32.4238,Bottom,180
C2,-7.4422,37.9864,Bottom,180
C3,8.3312,36.4116,Bottom,180
C4,7.8994,21.2598,Bottom,0
C5,-4.8768,21.8734,Bottom,90
C6,-12.0396,31.1538,Bottom,180
C7,-12.0396,29.8838,Bottom,180
C8,-7.4422,36.7418,Bottom,180
C9,8.3312,35.1576,Bottom,180
C10,-4.1148,19.8762,Bottom,0
C11,-7.0104,25.9722,Bottom,0
C12,-3.5306,18.2626,Bottom,0
C13,4.6228,21.1208,Bottom,0
C14,9.3472,33.897,Bottom,0
C15,-33.2105,32.4492,Bottom,90
C16,-14.5796,28.563,Top,270
C17,-14.5796,25.4642,Top,90
C18,-13.4366,32.135,Top,90
C19,-13.4366,29.8236,Top,270
C20,-4.318,32.4612,Bottom,90
C21,16.6624,52.7812,Top,90
C22,-9.7076,49.8076,Top,0
C33,14.0842,39.1245,Top,180
C34,16.764,39.1245,Top,180
C36,-17.7546,54.5084,Top,90
C37,-0.0254,53.6956,Top,0
C50,-15.0876,35.2926,Top,0
CF1,17.526,17.4244,Top,180
D12,-15.2282,55.1822,Bottom,0
FB1,-1.5527,42.0878,Top,0
FB2,11.9014,41.0464,Top,0
FB3,-20.2215,53.9496,Top,0
FB4,-15.1511,40.132,Top,180
J1,17.1323,54.356,Bottom,270
J3,-0.635,7.9822,Top,0
L1,-10.7442,24.1433,Bottom,0
P1,-28.0416,32.5254,Top,270
Q1,-3.1496,52.7438,Top,90
Q2,-3.1496,56.4268,Top,90
R1,-10.795,24.4736,Top,0
R2,-18.4404,38.7724,Top,180
R3,-11.6083,27.1103,Top,180
R4,-18.3642,56.4776,Top,180
R5,-7.62,56.4776,Top,0
R6,9.2666,22.9971,Bottom,180
R7,-7.62,53.9376,Top,180
R8,-7.62,55.2076,Top,180
R9,-7.514,22.9877,Bottom,0
R10,-7.514,22.3146,Bottom,0
R11,-6.1226,21.1084,Bottom,0
R12,9.2666,23.6643,Bottom,180
R13,-1.8288,21.303,Bottom,90
R14,7.8784,31.3062,Bottom,0
R15,12.0498,56.8564,Top,90
R16,-10.8253,21.971,Top,0
R17,4.2672,37.599,Bottom,90
R18,-3.3528,36.9316,Bottom,90
R19,-7.4677,31.484,Bottom,180
R20,-5.3848,39.5986,Top,0
R21,-5.3848,38.8874,Top,0
R22,3.5983,37.599,Bottom,270
R23,-7.4677,34.8497,Bottom,180
R24,2.9295,37.599,Bottom,270
R25,-7.4677,34.1835,Bottom,180
R26,2.2606,37.599,Bottom,270
R27,-18.4404,37.5278,Top,180
R28,-7.4677,33.5087,Bottom,180
R29,1.5917,37.599,Bottom,270
R30,-7.4677,32.8338,Bottom,180
R31,0.9229,37.599,Bottom,270
R32,-7.4677,32.1589,Bottom,180
R33,0.254,37.599,Bottom,270
R34,0.1524,21.303,Bottom,90
R35,9.2666,24.3314,Bottom,180
R36,0.8446,21.303,Bottom,90
R37,9.2666,24.9985,Bottom,180
R38,1.5367,21.303,Bottom,90
R39,-3.81,39.2176,Top,90
R40,2.2289,21.303,Bottom,90
R41,9.2666,26.3532,Bottom,180
R42,2.921,21.303,Bottom,90
R43,2.4638,19.8762,Bottom,270
R44,3.1242,19.8762,Bottom,270
R45,7.8784,27.6486,Bottom,180
R46,3.7846,19.8762,Bottom,270
R47,7.8784,28.3598,Bottom,180
R48,4.445,19.8762,Bottom,270
R49,13.396,56.8564,Top,90
R50,12.6492,50.5968,Top,180
R51,15.3264,56.8564,Top,270
R52,12.0498,52.832,Top,90
R53,-10.8204,20.6756,Top,0
RF1,11.9047,42.2402,Top,0
RF2,16.1798,45.3016,Top,90
RF3,14.9352,45.3016,Top,90
RF4,20.7518,15.6464,Top,180
RF5,20.7518,14.3764,Top,180
Rx1,5.0546,33.1216,Bottom,0
Rx2,4.3688,31.0896,Bottom,270
Rx3,2.0828,29.1592,Bottom,180
SW1,-33.1216,32.4866,Top,90
U1,0.1524,29.0362,Top,0
U2,-13.1064,54.5726,Top,0
U3,0,32.5,Bottom,180
U4,15.4984,41.1772,Top,0
U5,-13.1064,48.8576,Top,0
U6,-12.9286,37.588,Top,180
U7,16.8656,15.5836,Top,0
U8,14.3612,53.3766,Top,270
X1,-17.78,26.98,Top,270
X2,-11.6332,31.0174,Top,270
