Designator,Mid X,Mid Y,Layer,Rotation
C1,-1.7974,54.3052,Top,180
C2,7.0866,8.6106,Top,270
C3,-22.0726,52.5653,Bottom,90
C4,-14.928,53.7177,Bottom,90
C5,-13.785,53.6796,Bottom,90
C6,-12.515,53.6796,Bottom,90
C7,-19.8302,49.0314,Bottom,0
C8,-22.1742,45.339,Bottom,270
C9,-17.1196,49.0474,Bottom,0
C10,-23.4696,45.339,Bottom,270
C11,-14.1732,60.4868,Bottom,90
C12,-12.9123,60.4868,Bottom,90
C13,15.9584,9.255,Top,270
C14,5.969,19.2278,Top,180
C15,27.2796,21.1836,Top,90
C16,25.712,21.2598,Top,90
C17,21.1908,17.4592,Top,90
C18,22.7402,17.7132,Top,270
C19,21.9311,21.2598,Top,90
C20,19.2776,18.7012,Top,0
C21,23.8216,21.2598,Top,90
C22,15.802,30.6164,Top,180
C23,3.1568,17.5608,Top,0
C24,6.223,14.6304,Top,0
C26,16.6624,24.4348,Top,180
C27,20.0406,21.2598,Top,270
C28,8.6614,23.0895,Top,180
C29,5.969,17.686,Top,180
C30,20.7082,15.3764,Top,0
C31,13.208,24.4348,Top,0
C32,-23.9704,52.943,Bottom,0
C33,-6.6984,52.054,Bottom,0
C34,-3.8028,50.4792,Bottom,90
C35,-8.4256,49.3616,Bottom,270
C36,-22.6115,55.8386,Bottom,180
C37,-18.4078,55.4068,Bottom,90
C38,-21.9202,43.1546,Bottom,0
C39,-19.558,38.6334,Bottom,0
C40,2.5654,56.4896,Bottom,90
C41,-0.9398,56.4896,Bottom,270
C42,12.319,55.4482,Bottom,0
C43,14.986,58.8772,Bottom,270
C44,-22.8854,38.354,Bottom,180
C45,-22.8854,36.4236,Bottom,180
C46,2.5908,53.7464,Bottom,270
C48,8.2492,47.3964,Bottom,180
C49,13.366,43.5612,Top,0
C50,21.8512,49.4632,Bottom,90
C51,-23.9522,10.0584,Bottom,90
C52,9.779,17.78,Bottom,180
C53,-24.003,14.6304,Bottom,270
C54,20.1676,19.2024,Bottom,180
C55,13.1572,57.6072,Bottom,270
C57,33.528,29.1846,Top,90
C58,33.528,32.1056,Top,90
C59,33.528,35.0266,Top,90
C60,33.528,37.9476,Top,90
C61,-24.4602,29.0068,Bottom,90
C62,5.3848,32.131,Top,0
CF3,0.9906,56.4896,Bottom,270
D1,-23.3172,49.1998,Top,180
D2,-13.1252,57.5564,Bottom,0
D3,23.1394,54.5846,Bottom,315
D4,23.2923,36.7538,Top,180
D5,16.6116,40.1568,Bottom,270
D6,3.1496,40.0052,Bottom,270
D7,3.1505,32.3088,Bottom,270
D8,23.2923,32.9692,Top,180
D9,16.6111,32.5882,Bottom,270
D10,12.6492,40.1574,Bottom,270
D11,12.6492,32.6166,Bottom,270
D12,-15.621,38.989,Bottom,180
D13,-11.7094,62.5602,Top,0
D14,-17.8562,9.4234,Top,0
D15,2.6162,29.3116,Top,270
D16,-23.241,35.0012,Bottom,180
D17,15.6972,62.103,Bottom,180
D18,17.4498,47.5488,Bottom,180
D19,12.688,9.271,Top,0
D20,-22.733,29.1846,Bottom,270
D21,-22.2758,21.3614,Bottom,180
D22,9.3472,34.036,Top,270
DF2,7.4488,57.7342,Bottom,180
F1,-1.2446,32.4104,Top,180
FB1,22.5364,50.9524,Top,180
FB2,-8.9408,51.8922,Top,270
FB3,22.5298,49.6316,Top,0
FB4,-15.6718,60.5282,Top,180
J1,-14.563,9.4302,Top,90
J2,-14.351,40.4318,Top,270
J3,-0.635,7.9822,Bottom,180
J4,31.9278,32.267,Bottom,90
J5,-14.351,24.4904,Top,270
J6,7.8994,3.2004,Top,180
J11,31.418,31.538,Bottom,90
L1,12.1284,55.5244,Top,180
L2,10.6976,62.0014,Bottom,180
L3,-23.8252,41.021,Bottom,180
LED1,15.494,5.0292,Top,0
P1,-3.7338,41.7882,Top,270
P2,-3.6068,23.1044,Top,90
P3,31.4016,44.3578,Top,180
P4,-11.811,15.5448,Top,270
P5,31.4016,41.9956,Top,0
